(4fd6b3c9,8d43235b) (6b396239,8d43235b)
(7f184ed,5957984b) (cebd2dd,5957984b)
(1be25fb,1fbfc59) (1e0a2d7,1fbfc59)
(1e768189,45fe1d45) (3c45cf65,45fe1d45)
(7e31c37,6f15e9db) (69fa6d9f,6f15e9db)
(1d720b3,13f5512b) (885371b,13f5512b)
(217536b,32341e1d) (17d96683,32341e1d)
(ac3148b,5ac50afb) (6ea602b,5ac50afb)
(9ad859d,14d8d3dd) (8e14b5,14d8d3dd)
(61b8452f,683ffccf) (1122ca0f,683ffccf)
(3ed229c1,b73305f9) (2f28c1f1,b73305f9)
(3a5c4933,ad2666eb) (7c5492eb,ad2666eb)
(23c62a1,478bdd5) (1c75e31,478bdd5)
(612ea85,e41badb) (b72125,e41badb)
(47ab4ac1,5f21253d) (3a1bd4c5,5f21253d)
(6b87ef5d,7e7588a3) (57555d45,7e7588a3)
(378f127,a7336cb) (e91517,a7336cb)
(4913c01,10890835) (1698c51,10890835)
(3d7aa295,4462f325) (7057d,4462f325)
(24b73d7,1471de43) (13525bd7,1471de43)
(14d3b275,3a0bfd27) (19e17e2d,3a0bfd27)
(d5d6a83,363fd6fd) (22bc1867,363fd6fd)
(feb66f,2c5236cb) (b68bc7,2c5236cb)
(86d4c9f,347bac7d) (28fdc9a7,347bac7d)
(10ef1ce5,2264207f) (59ad6cd,2264207f)
(148280a5,1c50b645) (6d2d18d,1c50b645)
(272bdc81,47392dcb) (41efe941,47392dcb)
(29c40ee3,4d4a9939) (330dd41f,4d4a9939)
(206709b5,475e8dc5) (3fd83edd,475e8dc5)
(13e741d,3c9e1131) (14d8ab7d,3c9e1131)
(abef86d,1382b90f) (113656b5,1382b90f)
(170b7c45,2fd13f75) (7c605dd,2fd13f75)
(6da0c0dd,7342428b) (5f7705b5,7342428b)
(530ece1,b2a6fcf) (46babd9,b2a6fcf)
(70f59f29,8599a1a7) (6cfa1729,8599a1a7)
(4515161,1d39fe3f) (75abc21,1d39fe3f)
(58610e03,92ab5025) (8035e067,92ab5025)
(2000153,d6a38cf) (f173,d6a38cf)
(e841d3,19cdf39) (1194ddb,19cdf39)
(3552067,1578d0cf) (e0fb9ff,1578d0cf)
(1325b43,56612fb1) (43a8896b,56612fb1)
(27d39db,3600b1d) (260c1d3,3600b1d)
(12170f9,342699d) (248ad9d,342699d)
(7809967,a865333) (8690e9f,a865333)
(c9299dd,d2f0629) (b39389,d2f0629)
(25e8614f,43d9e021) (aad0cbb,43d9e021)
(10c4210b,79aeead9) (75ac1a2b,79aeead9)
(122176a5,2dd0ab37) (646fe6d,2dd0ab37)
(8f93b1b,169a0b31) (12b166d3,169a0b31)
(2568003d,2f14547f) (155cd2c5,2f14547f)
(38ba261,b2a76e9) (4f1a599,b2a76e9)
(6611aa7,696ba91f) (5527d18f,696ba91f)
(4b8ec7f,6337053b) (a9bacc7,6337053b)
(130a9a8b,16cec635) (d26335b,16cec635)
(663d7c8b,ae8ca75d) (698ba9f3,ae8ca75d)
(ff4ff73,10f52459) (a707dbb,10f52459)
(13238c9,3ad14c1) (1a80c55,3ad14c1)
(4234c469,448b6799) (3e23be69,448b6799)
(5ddf4fe9,6ff80749) (1fd371d9,6ff80749)
(18516283,6fc2d937) (2f911dcb,6fc2d937)
(21aab091,3c17f29d) (1f5cc1a9,3c17f29d)
(3995233,48b31a7) (3a53be3,48b31a7)
(bd59b7,eb07c5) (e7d073,eb07c5)
(1d5e9e3,3c6543b) (446e5b,3c6543b)
(11643a9,bf6acd7) (b56b991,bf6acd7)
(2c437cf,5071169) (4df4e2f,5071169)
(1bc6542f,4cc0e10f) (1770394f,4cc0e10f)
(dbab6e3,2ed02a0b) (781564b,2ed02a0b)
(6307f43,22e6364f) (192a437b,22e6364f)
(2a76507,2c8e48b) (241d977,2c8e48b)
(7dc685d,90bfbff) (7fbf2f5,90bfbff)
(36a11bed,6c695fe1) (13e28ce5,6c695fe1)
(26ee049d,46577e87) (14f7dcb5,46577e87)
(3510aa87,a96b3d75) (eefa513,a96b3d75)
(50d3f3d,59a3bbd) (477a2cd,59a3bbd)
(5fb3e17f,b8dc9dbf) (83805a7f,b8dc9dbf)
(f47ef7f,11e68e77) (ef76bff,11e68e77)
(991a45b,24153de1) (15bcc7d3,24153de1)
(16e4457d,37d565a9) (31052ef9,37d565a9)
(15416041,24543047) (1a0874c1,24543047)
(63e9f2d,806f01b) (53e4e85,806f01b)
(a3b4337,151764e3) (c2766d7,151764e3)
(1204c48d,6481eebf) (134f2775,6481eebf)
(462b47b1,5a422d07) (3cb1f649,5a422d07)
(18a65593,6115e821) (327170db,6115e821)
(21b8aeb9,3457a599) (3c7a9e9,3457a599)
(e65c249,12e15729) (de112c9,12e15729)
(281fc395,b22a9bfd) (973439c5,b22a9bfd)
(44b2b9,3bfd42b) (39a1a89,3bfd42b)
(10e0b195,13ddf923) (2413ce5,13ddf923)
(13b9637,1ab3579) (12da63b,1ab3579)
(216091c9,422f4e6b) (23089291,422f4e6b)
(973c369,acd3f3b) (4b58669,acd3f3b)
(1af70e5,462e50f7) (1ac3b80d,462e50f7)
(11ef568b,e03972ad) (876e041f,e03972ad)
(2418b6d5,26cfd887) (23ca8efd,26cfd887)
(10aa86b1,11b315eb) (10f44149,11b315eb)
(9cb9b57,7166c77d) (40f901a7,7166c77d)
(bf85c29,fbfe77d) (48a51d9,fbfe77d)
(2e70b5b5,3b84a6c7) (54b4c35,3b84a6c7)
(2751be7f,2a155053) (1679b19f,2a155053)
(10d581c5,1a510ccb) (146c8f1d,1a510ccb)
(1175f1fd,38e07e0d) (e2a6d9d,38e07e0d)
(749d19,9e2ada9) (1fd6fb5,9e2ada9)
(180c3971,333d08b5) (220400e1,333d08b5)
(585616c3,77087327) (14cd035b,77087327)
(5158d83d,c29b3745) (89d2245d,c29b3745)
(4c2aa77,17f8549f) (95b5247,17f8549f)
(8029c91,f6732c7) (8bbdcf1,f6732c7)
(685bafeb,6ba6ac2b) (633ca793,6ba6ac2b)
(6543fd,64fae61) (5d87979,64fae61)
(162f5dd,1e956015) (11953501,1e956015)
(73b447cf,ad5ec535) (9fad6bb7,ad5ec535)
(5cd82a03,70fbd417) (f055e53,70fbd417)
(1b5ba509,527bce07) (1d320009,527bce07)
(2dec403,189264d9) (85c5fab,189264d9)
(3b8a9b,7cf985) (113e93,7cf985)
(62e9abf7,74b13c9f) (20015b67,74b13c9f)
(9f4a50d,5950193b) (50501a05,5950193b)
(f77ea5,8ff0a31) (7d1f3d,8ff0a31)
(7275047f,9d8d6181) (5af1acf,9d8d6181)
(f8077fd,1468da77) (51526b5,1468da77)
(4502fb81,4be99aef) (3cd6c7b9,4be99aef)
(28d07d5b,4d8e12c7) (3bc743bb,4d8e12c7)
(1fecdeb1,8aa55143) (7ef94889,8aa55143)
(1b12e9d7,99a601bd) (423e6e27,99a601bd)
(e4716b1,3277f2a3) (12c238f1,3277f2a3)
(c07c73,16e2e15) (128a09b,16e2e15)
(b4aa4e5,e62443d) (241c9bd,e62443d)
(1cdb7749,685f094b) (423a0e01,685f094b)
(8857c1,86eddad) (783de05,86eddad)
(b152a0f,e25dbc7) (6dbb3ff,e25dbc7)
(604f3009,ce651489) (19555819,ce651489)
(32b4e40f,b0a1d081) (a234eef,b0a1d081)
(75b35b7,13cc782b) (30d5bd7,13cc782b)
(2cc70fc7,7f2c421d) (6d9af6b3,7f2c421d)
(2a429bb,657ab41) (2ff22df,657ab41)
(8dd811,6c9f4d5) (19e8d71,6c9f4d5)
(1cbe5efb,2f1385e1) (1d99dac7,2f1385e1)
(5252bb7,59001afd) (470fe6e7,59001afd)
(19fbad,3c7a87) (187775,3c7a87)
(3cd82b,18f7de9) (8970d7,18f7de9)
(19a6231,11ba6393) (69e7971,11ba6393)
(2e39d47,1dfd7fd5) (caf514b,1dfd7fd5)
(3e0106c7,9d993493) (64676af7,9d993493)
(2706dc1,1baa15cb) (424baa1,1baa15cb)
(2fb566fb,3c4b2149) (20874b33,3c4b2149)
(aab39,10a9e9) (cecc5,10a9e9)
(24f1ed,3e0ed9) (423e5,3e0ed9)
(82daa97,6dd8760f) (4a3412d7,6dd8760f)
(ba3fb5,189c8df5) (14b21d11,189c8df5)
(1284f487,3eecd8c1) (18d2c193,3eecd8c1)
(1f95456d,36d706e9) (d656269,36d706e9)
(349dfa43,8f217185) (46dc0f0b,8f217185)
(45298db9,76a4ac55) (39f247c9,76a4ac55)
(16bf02ab,a972d45b) (7492998b,a972d45b)
(4f5272f,2d5c0497) (105dd75f,2d5c0497)
(20834f5f,4f2a49d5) (216847ff,4f2a49d5)
(2ae8302d,8f2d6b57) (1f050c15,8f2d6b57)
(1dc24aff,9e0668d5) (7543063f,9e0668d5)
(b5ac53,36e79323) (116b80bb,36e79323)
(281dec6f,6dc749b9) (5f6d308f,6dc749b9)
(f657161,68679c55) (9742145,68679c55)
(4691d2a5,8f6a96df) (83801eb5,8f6a96df)
(32e749,2389ad1) (1eea39,2389ad1)
(b2a2cd9,e9c7d1b) (990c8c9,e9c7d1b)
(4431ba0b,a30b5f05) (6077270f,a30b5f05)
(3a8b38af,7426aa5f) (3b188457,7426aa5f)
(29e144f,2141b0d9) (20f65c9f,2141b0d9)
(19e8b0ff,4bf27751) (82ddabf,4bf27751)
(33f2086f,42c15d73) (3cd8142f,42c15d73)
(160c7cbf,22453a8f) (15feaa9f,22453a8f)
(487865f,742e73f) (1a5070f,742e73f)
(17314d8f,21a45d6f) (27fe11f,21a45d6f)
(4539bb99,c0ea3c0d) (b9fef8a9,c0ea3c0d)
(45186ae5,5d0c8c57) (55a1790d,5d0c8c57)
(e79f62f,4920a919) (560de9f,4920a919)
(366e94c5,dc4cbef1) (581b1675,dc4cbef1)
(6e77103,10ae0ddb) (85720eb,10ae0ddb)
(8a9071b,199cf40b) (cc73bd3,199cf40b)
(5449e1d9,997f2773) (34f5c131,997f2773)
(956dad,154e64f) (1c3895,154e64f)
(18922505,4cb90169) (4276f2c5,4cb90169)
(c919df3,20c14681) (1d68133b,20c14681)
(714c9d,3d972e1) (2627275,3d972e1)
(1ce1171,b9fb505) (2af4291,b9fb505)
(36a70387,41ef7345) (14f37437,41ef7345)
(ca5c1,5667a31) (2e09a41,5667a31)
(8376c1,babe2d) (2a1021,babe2d)
(20385c17,4aedfabf) (4a55a94f,4aedfabf)
(101c8fd,fe79b0f) (fa0fded,fe79b0f)
(92fb0d3,19a9d665) (4d95c4f,19a9d665)
(14386cf,46fe6fb3) (2a95e15f,46fe6fb3)
(f018df9,576fb5ed) (443a4a7d,576fb5ed)
(1b113a13,1e14a3f5) (f3d1b87,1e14a3f5)
(6cda19d,32293da1) (1359d0ed,32293da1)
(358a0703,87f4c057) (7e3c433,87f4c057)
(d172fa7,1905f121) (48edb9f,1905f121)
(18552ec5,7a8f92f5) (201766c9,7a8f92f5)
(4beae2fb,85043083) (1928853,85043083)
(2646bdf1,915df781) (a3f2ccd,915df781)
(1862c58b,7d0e32e9) (4f0c8023,7d0e32e9)
(ed8872f,3959aacf) (2e7fb45f,3959aacf)
(401c4357,67b77f95) (c08b587,67b77f95)
(196b1fa3,1c8500c9) (ab05ff,1c8500c9)
(6db1021,13bd0675) (c0828b5,13bd0675)
(b75c7a1,3910dfe3) (2d16a4a1,3910dfe3)
(2c6dc125,2cbdeff9) (7c56b4d,2cbdeff9)
(88def61,3f66d193) (1ac4eb61,3f66d193)
(1d375111,51fc905f) (40e43751,51fc905f)
(b172acf,2216104d) (218bd2f,2216104d)
(257f4af3,26e2743b) (b16899b,26e2743b)
(d56d817,8742007f) (359c3b77,8742007f)
(1c3d0e33,69c96845) (49e58dfb,69c96845)
(2a3f2197,384cef11) (17c364e7,384cef11)
(fef95f,7e2fc99) (77aaff,7e2fc99)
(11e7a0b3,132f66e9) (21621bf,132f66e9)
(aba084f,1b5eb08b) (d0a803f,1b5eb08b)
(5343bf71,e88f745f) (b786c4a9,e88f745f)
(217f06f7,81b3addf) (47d4e557,81b3addf)
(1909334f,205c3699) (d01ca7,205c3699)
(a23b3e7,2506dff3) (19753397,2506dff3)
(871e2a5,daae9dd) (26fd9ad,daae9dd)
(88a9399,13502be7) (97ceaa9,13502be7)
(5eef26b,7c5bae9) (58e19ab,7c5bae9)
(706978b,72c28a29) (489b5b27,72c28a29)
(1eb10783,59c533a5) (19b3bd27,59c533a5)
(1f8bb571,57043b2b) (397bf221,57043b2b)
(26c0257,7f28825) (71aae7,7f28825)
(15311dd,9a1a701) (336bc35,9a1a701)
(13dcc93,27c155f) (22046f3,27c155f)
(421187,9a542e69) (67c495c7,9a542e69)
(6d33de5d,7804d7b9) (71ed75f5,7804d7b9)
(1985ef73,982246cd) (a13f4a7,982246cd)
(4559d2bd,ae64255d) (3ebd6e55,ae64255d)
(febc09,2aa0f9d) (8de8c9,2aa0f9d)
(11b01d4f,26037dbb) (1c57564f,26037dbb)
(17201d49,4a9dc75d) (1d9362f9,4a9dc75d)
(3972029,78d46e27) (24416489,78d46e27)
(861fd,174457) (15d2b5,174457)
(8ea8c37,136ae8a7) (101f6267,136ae8a7)
(4059b423,7c8f52a9) (43c96c5b,7c8f52a9)
(fa43c6f,15db2ce3) (5b435cf,15db2ce3)
(401c15,69cfac7) (28e0afd,69cfac7)
(37cb941,5caa39f) (39ceec9,5caa39f)
(e426707,f0b61b5) (a9e8cff,f0b61b5)
(4f7c1e5,241800c7) (22dc44a5,241800c7)
(3a809f2f,45eb7927) (4ac048f,45eb7927)
(8741d29,28173835) (240448d9,28173835)
(b1afaf,204be0f) (185b84f,204be0f)
(147e4349,368ce3c9) (57f4939,368ce3c9)
(8ac65,202c0cf) (b8846d,202c0cf)
(657dc69,39573fd3) (321a6051,39573fd3)
(69d9caf,dd5b4af) (a368a4f,dd5b4af)
(18105fd,38360ad3) (257474dd,38360ad3)
(3e6eb037,64e79333) (4bf8ef87,64e79333)
(1136d6b,1f908b3) (1534643,1f908b3)
(648ed1,3b039cb9) (13381b79,3b039cb9)
(215be70d,a9b09a75) (8e896725,a9b09a75)
(48557c11,74595173) (6e3580f1,74595173)
(312b4829,55fdb147) (522c4b49,55fdb147)
(1838d109,68c55817) (5e2f4df9,68c55817)
(1d256d57,92e00d17) (331a23e7,92e00d17)
(2363f20d,53092c25) (4eca9a45,53092c25)
(f0d6435,6aa98c9d) (49cf9615,6aa98c9d)
(a259d37,15396997) (475aa7,15396997)
(bc3ef1,3401e757) (26479211,3401e757)
(36d50b27,65605649) (273cf617,65605649)
(918eb7,1454bab) (2921a7,1454bab)
(72c659,d40b4f) (949a21,d40b4f)
(2ba3806d,3db39697) (373c3fe5,3db39697)
(4eff431b,ae717bb1) (620b7713,ae717bb1)
(98ae401,3db87961) (1d97fd81,3db87961)
(5e96f85b,b1dcd4b9) (9fa8c2fb,b1dcd4b9)
(282cd9f,3788633) (3aec1f,3788633)
(4713f6ff,6ed59b03) (4ad2dcc7,6ed59b03)
(7c05ec3,f06f839) (4e7b3a7,f06f839)
(34cb1b,42dc93) (bb083,42dc93)
(259714f,614befd) (2c0161f,614befd)
(2aeb8d1,61b4b7d) (23d0f71,61b4b7d)
(55e06bb,39e9486f) (1ad89d13,39e9486f)
(1adec69f,26a65285) (83a70df,26a65285)
(2ed79b,26914bd) (24a19ff,26914bd)
(a9d3b6f,32c2d41f) (d97a18f,32c2d41f)
(1c883731,5c762e97) (1e7c0f21,5c762e97)
(c544133,140ac67d) (372ed83,140ac67d)
(45cfcaf,ae68f5f) (459ceef,ae68f5f)
(4ed59d,5ae2eb) (44217d,5ae2eb)
(1816faef,2f502e0b) (176db057,2f502e0b)
(3130895,446438f) (358f4bd,446438f)
(7424bc1,91863fb) (35cabe1,91863fb)
(1a7de9d,60b6e37) (5574c55,60b6e37)
(d2076a3,1340f5c1) (36b1e87,1340f5c1)
(1d72e01b,6597faf1) (4e76a413,6597faf1)
(38c025b,9888535) (4b60fd7,9888535)
(8930e09,10030e13) (aa8fff9,10030e13)
(69e1f58f,6f5ae79b) (4e4fbe8f,6f5ae79b)
(647b7f9,2fa2d725) (c34c49,2fa2d725)
(1993a875,22064591) (20727da5,22064591)
(259fcb7,aeec9e9) (763af77,aeec9e9)
(38d3143,2b611493) (2a10eecb,2b611493)
(2d3f31eb,5bec9043) (1f94fbbb,5bec9043)
(1f3d2bd,1fc88453) (1fac5a95,1fc88453)
(342c583,d7ad487) (2cddcab,d7ad487)
(16fb4427,9ad3632d) (3a9a0897,9ad3632d)
(34bd67b,79b6a315) (5b1fdc73,79b6a315)
(a70849b,103fdcc3) (f2d59b3,103fdcc3)
(8927593,46c53cf5) (164e5007,46c53cf5)
(cf6c875,75624cf5) (220ea325,75624cf5)
(195bf123,27a17b9f) (e35b54b,27a17b9f)
(273057b,2b2fe729) (2a2e5bb7,2b2fe729)
(8872ec5,1959a7f3) (b35fd8d,1959a7f3)
(106101ed,30780c25) (10525c65,30780c25)
(f6c91,a71c47) (11b2d9,a71c47)
(2b13d363,692bbe59) (1549392b,692bbe59)
(7aa0508d,873a916f) (28fe7ec5,873a916f)
(190f795,214bc8f) (1e4659d,214bc8f)
(457fdd,33ba9a3) (18a00bd,33ba9a3)
(527fb9,39f8927) (25a5b61,39f8927)
(1902ac99,9bb4cbb7) (3666e139,9bb4cbb7)
(1a50a83,24c5a23) (217121b,24c5a23)
(92d6c5,4b6d387) (4a8b07d,4b6d387)
(7187c6c7,8a86234b) (6f86e717,8a86234b)
(82a9a03,2298828d) (4d1cc1f,2298828d)
(9b97cf1,2907f45b) (118773d9,2907f45b)
(5fd9c8ed,f5f1fd9d) (5cadeba5,f5f1fd9d)
(dd458a9,1ac36011) (1319dab5,1ac36011)
(2bf96d,11368e5) (24421d,11368e5)
(2b9dbad5,2c95f7e9) (21f163c1,2c95f7e9)
(142bb435,31fe83db) (a548f1d,31fe83db)
(4775365,21c19e9b) (2f6ebfd,21c19e9b)
(9430eef,a4aeeb5) (9afccaf,a4aeeb5)
(1654dc63,5cbe7a27) (7b7650b,5cbe7a27)
(f6e8f73,1c4583bf) (a01c13b,1c4583bf)
(d0e13a7,5ee79873) (23d0d747,5ee79873)
(2dcdd9b9,e55876bf) (db6f4d59,e55876bf)
(12941dd,4ada47b) (2a0e5a5,4ada47b)
(e9330a1,10951b29) (89b16ad,10951b29)
(20eb620b,21f1ceb5) (9a85e83,21f1ceb5)
(7489067,505ff987) (37fe51d7,505ff987)
(7052a449,96e5af17) (1c0bae71,96e5af17)
(317b153,1d386b4d) (75befdb,1d386b4d)
(3a7efad,9ac6eded) (95f91d49,9ac6eded)
(22ae1b1,2f56f55) (2de5b11,2f56f55)
(456e7f7f,5c44a8e7) (3b64f37f,5c44a8e7)
(e40a2d3,2dc74a2b) (adde2f3,2dc74a2b)
(b8cd5f9,5e6b19ed) (2eed4325,5e6b19ed)
(747c5f3,799f8fb) (3d30fbb,799f8fb)
(4c64d37,c79131d) (732b107,c79131d)
(7181f9,67ef205) (54c1f31,67ef205)
(908903,e772c1) (959ab,e772c1)
(fa6f647,4259bebb) (23753a47,4259bebb)
(494b507,cb9bec7) (96049b7,cb9bec7)
(12bdb43b,39d34005) (10304f3,39d34005)
(4d6e69f,ae3248b) (4e329bf,ae3248b)
(2554ad47,3a84af63) (6c15d97,3a84af63)
(5e31fdeb,a610c2c9) (a3404843,a610c2c9)
(1cc83eb,160b1121) (6bafe23,160b1121)
(10279b37,1a66a941) (18105637,1a66a941)
(7323c1,1affa2f) (91a8b1,1affa2f)
(b674673,d2f928f) (c0f027b,d2f928f)
(c2a2045,118fe93b) (747c5,118fe93b)
(1b10c7f1,2346a19b) (4bfdd51,2346a19b)
(5662c1c9,ca200287) (517466f9,ca200287)
(196bbee7,2dfb94d7) (2b492057,2dfb94d7)
(38b1c94b,427a6057) (3e2c4f63,427a6057)
(174b72d1,1ae3136f) (2e3db9,1ae3136f)
(9f4fbcb,3ced956b) (2de24be3,3ced956b)
(563abc5,ada9db7) (5d9747d,ada9db7)
(12dc8d1f,20d13c19) (17a1a1ef,20d13c19)
(3a018693,3b52621b) (dd0fc9b,3b52621b)
(132097a9,3df27961) (3191b7c9,3df27961)
(5d078b69,618c5d9d) (5edfaad9,618c5d9d)
(150c107,2429fe1) (7b27b3,2429fe1)
(2e2b3c9,9b94cd9) (430c139,9b94cd9)
(1b57a897,ce892b0b) (9ed67657,ce892b0b)
(66277df,779f923) (770246f,779f923)
(79366f,6883e4f) (24e803f,6883e4f)
(9f813b,21aa32d) (12da033,21aa32d)
(1cf5a109,3a6982bf) (147adf39,3a6982bf)
(21ec87d9,239d9d3f) (21fa55e9,239d9d3f)
(1e2899,21b66b) (189369,21b66b)
(a4ae251,1b83bd47) (c18be91,1b83bd47)
(aa56cdf,c70fca5) (9afbadf,c70fca5)
(7a3d9bcb,8f2808d7) (f4ac293,8f2808d7)
(14e1a0d3,1c260e57) (e599243,1c260e57)
(6fb09785,706f12b1) (637bfc9d,706f12b1)
(6e71c0d,115e6db5) (110fe8c5,115e6db5)
(7fb6c479,cb464e47) (5b4fc3c9,cb464e47)
(1525c4db,31770af1) (30139e17,31770af1)
(21252341,261c70b5) (22199405,261c70b5)
(6c40dcf,2b9dc29d) (391442f,2b9dc29d)
(324b5e1f,d0e8d103) (5e62eaf7,d0e8d103)
(be0a3f,3dbe55fb) (3569513f,3dbe55fb)
(8999b67,f0c1073) (8aa1da7,f0c1073)
(5c93d3,154b7e7) (8eda53,154b7e7)
(20f05ff7,2358356b) (9d9f387,2358356b)
(3230d177,7b8924cb) (44a66dc7,7b8924cb)
(1f1f83,11db089) (e64f2b,11db089)
(fcb870f,1b19a287) (5ce8f77,1b19a287)
(1ed9a4c5,719c6d67) (5d80e96d,719c6d67)
(3f98fbd,8764739) (f8c15,8764739)
(6ddca2b,970c86d9) (965d0883,970c86d9)
(c59ef57,376f43a5) (32e50667,376f43a5)
(8ddee2f,1aa6a069) (160cad07,1aa6a069)
(2d76541f,610340e9) (40845da3,610340e9)
(2757b5e7,880d688d) (5c58222b,880d688d)
(2107541,6d4fc47) (349309,6d4fc47)
(1761221b,22f1430b) (11a89593,22f1430b)
(cc5d413,32890feb) (1569174b,32890feb)
(143b181,2e608b3) (15e99c9,2e608b3)
(326ba4cd,cd41689b) (aac3763d,cd41689b)
(2cb4d28f,307118c9) (5707fe7,307118c9)
(6859ddd9,a49bcb9b) (37d54e69,a49bcb9b)
(2c7e08e7,5cc49407) (1a911aa7,5cc49407)
(429cf55,5bc7a0b) (577a97d,5bc7a0b)
(10aabed,9417709) (2e23bed,9417709)
(1f2343cd,3a51bc89) (27b16785,3a51bc89)
(2af4aad,399bfdd) (362cc95,399bfdd)
(33304e43,68cf15b1) (36721a9b,68cf15b1)
(a63e977,205fe253) (611e8f7,205fe253)
(5b813d,3191f63) (1e7cef5,3191f63)
(1412b67,37d166d) (6372d7,37d166d)
(2c2f555,123b1e41) (a28170d,123b1e41)
(26fa47cb,55e6e113) (2f8ba4e3,55e6e113)
(2562923,9fc3037) (65f4d5b,9fc3037)
(28fbfd,2cdd6a3) (1706c35,2cdd6a3)
(bb50f81,2f690941) (88273c1,2f690941)
(31106cf9,39610711) (25bfd40d,39610711)
(10b81f29,6a77f467) (2113fbb9,6a77f467)
(324be557,3f61b913) (2771ca57,3f61b913)
(3876167,24969953) (208a1317,24969953)
(3d628d6d,d8791ab9) (1a29176d,d8791ab9)
(11886653,66094d35) (a8047b7,66094d35)
(69a2433,af6392d) (55834f3,af6392d)
(587b3c0d,eb40be17) (918470d5,eb40be17)
(a675c19,4a627be5) (12975cdd,4a627be5)
(5f757c43,6dd7a2af) (5f097953,6dd7a2af)
(306edaf7,3ca22c2f) (c8cacb7,3ca22c2f)
(4b7b37ff,7670dac7) (55520e6f,7670dac7)
(2c4aa8b9,5f069719) (4c57fe59,5f069719)
(ccfc323,428f680d) (325a718b,428f680d)
(bf49195,12e911bd) (341df5d,12e911bd)
(395fd0d,8708405) (194cd85,8708405)
(53313349,576d7585) (23f54ce9,576d7585)
(3d879,1354fc49) (941ddc9,1354fc49)
(167a65,653df01) (43daf4d,653df01)
(1199c5d9,31e89f9f) (1960b569,31e89f9f)
(1d0f4127,7ca2f09d) (a60e343,7ca2f09d)
(6f6aa5d,67b03ddb) (2526bc45,67b03ddb)
(132e7793,8270b0e7) (229b8a8b,8270b0e7)
(653b7c2f,671bdaef) (4fe6d987,671bdaef)
(1dad0c7,28a4dcaf) (686051f,28a4dcaf)
(1e6cb1b,32c0de3) (2285b2b,32c0de3)
(3f1e6c1,1c288291) (96d5541,1c288291)
(2efe8d7,7c09e6af) (4e2e837f,7c09e6af)
(23a0df1,6253eb5) (5dce531,6253eb5)
(fcf95e9,1847c809) (1368a399,1847c809)
(19c377e5,229e78fb) (1d08ad3d,229e78fb)
(dbfaa9b,1663439b) (14add503,1663439b)
(68edb,fc0c5) (a7047,fc0c5)
(1d3c8631,2cf7bef1) (183c892d,2cf7bef1)
(2579d5f,5ce4afb) (50ae957,5ce4afb)
(782b657,bcdfc23) (7cd7007,bcdfc23)
(23b5b041,43dc383f) (1fa3a0b9,43dc383f)
(742ffa77,b8c7b9c9) (5063eb13,b8c7b9c9)
(1ac47301,1e3bb4b7) (17986601,1e3bb4b7)
(26c29739,3afac40d) (ddaa55,3afac40d)
(11591,2199d) (7c31,2199d)
(26a841,1da6fd1) (8d39c1,1da6fd1)
(5d0917b,12251fb9) (4e85cf3,12251fb9)
(1b260b51,36a861cd) (1264bf31,36a861cd)
(1262cad,14ccdeb) (100fdc5,14ccdeb)
(5568217,69ebf49) (3f2e4a7,69ebf49)
(7e70155d,ae18c5a1) (4771d335,ae18c5a1)
(403d4a27,46898003) (28811377,46898003)
(181a0db,2a77f0f) (e58293,2a77f0f)
(49cdff9,20c40071) (12e596d9,20c40071)
(57fe0e6f,71804099) (425d87bb,71804099)
(13b40643,571265b7) (1dfd5a0b,571265b7)
(63a75,136d149) (1cf32d,136d149)
(2339d4a3,2367c0a1) (a40cf3,2367c0a1)
(2f3d975d,45164657) (19d1a315,45164657)
(d23ad83,24418351) (1807f76b,24418351)
(acd87fd,7017b6d7) (2d3e7d5,7017b6d7)
(2cd1a5,89a0a9) (4d6bfd,89a0a9)
(5a3bc167,618b7ef5) (3a29fc57,618b7ef5)
